WHEELS_ON,TAXI_IN,ARR_TIME
1324,14,1338
2044,4,2048
1207,6,1213
1550,5,1555
1937,2,1939
1512,5,1517
1102,4,1106
712,8,720
1059,18,1117
1148,7,1155
1647,4,1651
1800,3,1803
2128,9,2137
1620,2,1622
32,5,37
1023,4,1027
1230,2,1232
1436,12,1448
2105,5,2110
1905,8,1913
2242,2,2244
1838,4,1842
915,5,920
743,6,749
2313,4,2317
1424,6,1430
856,5,901
1518,5,1523
1552,4,1556
2119,15,2134
2236,2,2238
,,
1159,1,1200
1945,4,1949
1431,34,1505
1832,4,1836
727,5,732
2204,3,2207
2134,14,2148
2008,7,2015
1051,11,1102
1203,6,1209
1301,3,1304
504,3,507
837,12,849
1443,9,1452
1328,4,1332
1830,12,1842
1227,13,1240
747,10,757
2051,32,2123
706,6,712
1209,9,1218
1202,5,1207
1201,3,1204
1211,4,1215
2059,4,2103
2059,6,2105
1405,6,1411
1201,5,1206
908,10,918
2056,7,2103
2032,3,2035
2355,4,2359
1837,5,1842
707,4,711
1330,5,1335
936,6,942
910,5,915
1522,6,1528
1449,2,1451
225,4,229
1323,4,1327
1026,14,1040
1339,4,1343
1848,12,1900
1223,14,1237
518,6,524
1744,4,1748
33,4,37
1442,6,1448
935,11,946
20,2,22
2126,13,2139
2216,5,2221
2328,6,2334
755,44,839
1204,5,1209
2127,8,2135
2325,4,2329
1635,9,1644
1659,5,1704
2221,6,2227
1206,6,1212
2221,2,2223
2019,3,2022
1236,8,1244
1527,9,1536
942,6,948
1722,17,1739
